type,classification_description,Count
ASJC,2708,157
ASJC,3107,156
EMCLASS,Pharmacy,154
ASJC,2506,154
ASJC,2301,151
CPXCLASS,Liquid Fuels,151
FLXCLASS,WATER ENGINEERING,150
CPXCLASS,Electrochemistry,149
CPXCLASS,Electricity: Basic Concepts and Phenomena,148
ASJC,2600,147
ASJC,2406,147
ASJC,1900,146
CPXCLASS,"Fluid Flow, General",145
ASJC,2000,144
CPXCLASS,Atmospheric Properties,144
ASJC,1601,141
ASJC,1701,141
EMCLASS,"Health Policy, Economics and Management",141
ASJC,2707,141
FLXCLASS,PROCESS EQUIPMENT,140
CPXCLASS,Light and Optics,138
ASJC,1102,137
CPXCLASS,Optimization Techniques,136
CPXCLASS,Crystalline Solids and Crystallography,134
ASJC,3310,134
ASJC,2312,133
ASJC,2402,132
ASJC,1203,132
ASJC,2800,132
ASJC,2712,131
ASJC,2916,130
ASJC,2731,130
ASJC,1501,129
ASJC,3306,128
CABSCLASS,CELL AND DEVELOPMENTAL BIOLOGY,127
CPXCLASS,Biomedical Engineering,127
ASJC,1314,127
ASJC,1403,127
ASJC,3312,126
ASJC,2721,126
CPXCLASS,Soils and Soil Mechanics,125
CPXCLASS,Mathematics,124
CPXCLASS,Chemical Plants and Equipment,124
CPXCLASS,Information Theory and Signal Processing,123
ASJC,2405,123
ASJC,1101,123
ASJC,2729,121
ASJC,1400,120
CPXCLASS,Mechanics,119
ASJC,2503,118
ASJC,2604,117
ASJC,2713,114
CPXCLASS,Social Sciences,113
ASJC,1308,113
ASJC,2611,112
CPXCLASS,Polymeric Materials,111
CPXCLASS,Optical Variables Measurements,110
CPXCLASS,Semiconducting Materials,110
ASJC,1304,110
ASJC,2804,109
CPXCLASS,Precious Metals,108
CPXCLASS,Coating Materials,108
CPXCLASS,Health Care,108
CPXCLASS,Agricultural Products,108
CPXCLASS,Cost and Value Engineering,108
CPXCLASS,Metallurgy,107
FLXCLASS,PETROLEUM ENGINEERING,106
CPXCLASS,Metallurgy and Metallography,106
FLXCLASS,WASTEWATER AND OTHER EFFLUENT/LIQUID WASTE ENGIN.,105
ASJC,3322,105
CPXCLASS,Biotechnology,105
ASJC,3005,105
CPXCLASS,Applied Mathematics,105
CPXCLASS,Information Sources and Analysis,104
CPXCLASS,"Combinatorial Mathematics, Includes Graph Theory, Set Theory",104
CPXCLASS,"Others, including Bismuth, Boron, Cadmium, Cobalt, Mercury, Niobium, Selenium, Silicon, Tellurium and Zirconium",103
ASJC,2003,103
ASJC,1109,103
ASJC,2734,103
ASJC,3504,102
ASJC,3301,102
CPXCLASS,Natural Rubber,100
ASJC,1907,100
ASJC,3000,100
CPXCLASS,Quantum Theory,98
ASJC,3110,97
ASJC,3612,97
ASJC,2737,97
EMCLASS,Anesthesiology,96
CPXCLASS,Control Systems,96
CPXCLASS,Semiconductor Devices and Integrated Circuits,95
ASJC,1603,94
ASJC,1200,94
CPXCLASS,Ergonomics and Human Factors Engineering,94
CPXCLASS,Industrial Wastes,94
CPXCLASS,Information and Communication Theory,94
CPXCLASS,Immunology,93
ASJC,2900,92
CPXCLASS,Data Processing,91
ASJC,3303,91
CPXCLASS,Glass,89
CPXCLASS,Cellulose and Derivatives,89
ASJC,2706,88
CPXCLASS,Structural Members and Shapes,88
CPXCLASS,Industrial Wastes Treatment and Disposal,88
CPXCLASS,Computer Programming,87
CPXCLASS,Biological Materials,87
CPXCLASS,Concrete,86
CPXCLASS,"Chemistry, General",85
ASJC,1315,83
CPXCLASS,"Electricity, Basic Concepts and Phenomena",83
ASJC,2740,83
ASJC,1111,83
CPXCLASS,Energy Utilization,82
ASJC,1404,82
ASJC,3103,81
CPXCLASS,Energy Conservation,81
CPXCLASS,Colloid Chemistry,81
ASJC,2718,81
CPXCLASS,Environmental Impact and Protection,80
CPXCLASS,High Energy Physics,80
EMCLASS,Gerontology and Geriatrics,79
ASJC,1912,79
CPXCLASS,Electric Batteries and Fuel Cells,79
CPXCLASS,Electric Power Systems,78
EMCLASS,Toxicology,78
CPXCLASS,Fuel Cells,78
CPXCLASS,Polymer Products,78
ASJC,1803,76
ASJC,2717,75
CPXCLASS,Quality Assurance and Control,75
