type,classification_description,Count
CPXCLASS,"Petroleum Refining, General",7
ENCOMPASSCLASS,Natural Gas,7
CPXCLASS,Small Tools and Hardware,7
CPXCLASS,Gas Turbines and Engines,7
CPXCLASS,Electric Generators,7
CPXCLASS,Steam Power Plants,7
CPXCLASS,"Textile Mills, Machinery and Equipment",7
GEOCLASS,Fuel and Energy,7
GEOCLASS,Regional,7
GEOCLASS,PALAEOECOLOGY,7
CPXCLASS,Highway Traffic Control,7
CPXCLASS,Meteorological Instrumentation,7
CPXCLASS,Military Engineering,7
CPXCLASS,Wind Power,7
CPXCLASS,Waveguides,7
CPXCLASS,Waterways,7
CPXCLASS,Waterway Transportation,7
CPXCLASS,Product Development,7
ASJC,2917,7
CPXCLASS,Mine and Quarry Operations,7
GEOCLASS,Surface water quality,7
CPXCLASS,Process Heating,7
CPXCLASS,Nanofluidics,7
GEOCLASS,Urban Planning,7
CPXCLASS,Woodlands and Forestry,6
GEOCLASS,Pollution control and remediation,6
GEOCLASS,Sedimentary geochemistry,6
GEOCLASS,Heavy metals,6
ASJC,2801,6
CPXCLASS,Dental Equipment and Supplies,6
GEOCLASS,Plate tectonics,6
GEOCLASS,Environmental Assessment and Monitoring,6
CPXCLASS,Biomaterials,6
CPXCLASS,Ultrasonic Applications,6
CPXCLASS,Biomechanics,6
GEOCLASS,"GIS, Remote Sensing",6
ASJC,2921,6
CPXCLASS,"Light, Optics and Optical Devices",6
CPXCLASS,Automobile and Smaller Vehicle Components,6
CPXCLASS,Passenger Railroad Transportation,6
CPXCLASS,Residences,6
CPXCLASS,Moisture Measurements,6
CPXCLASS,"Highway Transportation, General",6
CPXCLASS,Mechanical Instruments,6
CPXCLASS,Maritime Structures,6
CPXCLASS,Packaging,6
CPXCLASS,Papermaking Equipment,6
CPXCLASS,Radioactive Material Applications,6
CPXCLASS,Legal Aspects,6
CPXCLASS,Petroleum Refineries,6
CPXCLASS,Laser Beam Interactions,6
CPXCLASS,Logic Elements,6
CPXCLASS,Mortar,5
CPXCLASS,"Railroad Transportation, General",5
GEOCLASS,Labour and Income,5
CPXCLASS,"Railway Plant and Structures, General",5
CPXCLASS,Air Navigation and Traffic Control,5
GEOCLASS,Modelling and numerical methods,5
CPXCLASS,AC Motors,5
CPXCLASS,Heat Insulating Materials,5
CPXCLASS,Vacuum Technology,5
CPXCLASS,Vacuum Applications,5
CPXCLASS,Construction Methods,5
GEOCLASS,Non-metals,5
CPXCLASS,Polymer Applications,5
GEOCLASS,Hydrochemistry,5
GEOCLASS,General pollution,5
CPXCLASS,"Gravitation, Relativity and String Theory",5
CPXCLASS,Acoustic Noise,5
CPXCLASS,Welding,5
CPXCLASS,"Rail Transportation, General",5
CPXCLASS,Nuclear Power Plants,5
GEOCLASS,"FINANCIAL SECTOR, DEBT",5
CPXCLASS,Rehabilitation Engineering and Assistive Technology,5
GEOCLASS,ENERGY,5
GEOCLASS,Conservation and habitat improvement,5
CPXCLASS,Processing of Plastics and Other Polymers,5
GEOCLASS,Coastal and Marine Management,5
CPXCLASS,Other Structural Materials,5
CPXCLASS,Fuel Combustion and Flame Research,5
CPXCLASS,Primary Batteries,5
ASJC,3503,5
GEOCLASS,Oil and chemical pollution,5
CPXCLASS,Ventilation,5
CPXCLASS,Hydraulics,5
GEOCLASS,Tourism and Recreation,5
CPXCLASS,Secondary Earthquake Effects,5
CPXCLASS,"Electrical Engineering, General",5
CPXCLASS,Human Rehabilitation Engineering,5
CPXCLASS,Synthetic Fibers,5
GEOCLASS,Soil water,5
GEOCLASS,TOURISM,5
GEOCLASS,Weather and climate forecasting,5
CPXCLASS,Electromagnetic Waves in Different Media,5
CPXCLASS,Soldering,5
ASJC,2910,5
CPXCLASS,Space Research,5
ASJC,2908,5
CPXCLASS,"Space Heating, Ventilation and Air Conditioning",5
CPXCLASS,Machine Tool Accessories,5
GEOCLASS,Sedimentary environments - terrestrial,5
CPXCLASS,Pipe Accessories,5
CPXCLASS,Corrosion Protection,5
CPXCLASS,Metal Plating,5
CPXCLASS,Microbiology,5
GEOCLASS,Policy,5
CPXCLASS,"Metals, Plastics, Wood and Other Structural Materials",5
CPXCLASS,Thermoelectric Energy,5
ASJC,3201,5
CPXCLASS,Marketing,4
GEOCLASS,CULTURE AND DEVELOPMENT,4
GEOCLASS,Biological and integrated control,4
GEOCLASS,Benthic and hydrothermal communities,4
GEOCLASS,Base courses and pavements,4
CPXCLASS,Mechanical Drives,4
GEOCLASS,Applied seismology,4
GEOCLASS,URBANISATION AND URBAN PLANNING,4
CPXCLASS,Packaging Equipment,4
GEOCLASS,Political systems and political change,4
GEOCLASS,"Coasts, reefs and atolls",4
ASJC,3616,4
CPXCLASS,Acoustic Properties of Materials,4
ENCOMPASSCLASS,Oil Field Chemicals,4
CPXCLASS,Military Aircraft,4
ASJC,1800,4
ASJC,1410,4
GEOCLASS,Regional structure and tectonics,4
GEOCLASS,"SOCIAL POLICY, OTHER SOCIAL SERVICES",4
GEOCLASS,Structural geology and tectonics,4
CPXCLASS,Metal Cutting,4
ASJC,3318,4
GEOCLASS,"MIGRATION, REFUGEES, RESETTLEMENT. LABOUR MIGRATION",4
GEOCLASS,Gender Studies,4
GEOCLASS,Marine and coastal environment,4
GEOCLASS,GENERAL MICROBIAL ECOLOGY,4
CPXCLASS,Nuclear Physics,4
GEOCLASS,Methods and management,4
GEOCLASS,Migration,4
CPXCLASS,Solid State Lasers,4
GEOCLASS,The Holocene,4
CPXCLASS,Geophysics,4
GEOCLASS,"POVERTY, WELFARE AND INCOME DISTRIBUTION",4
GEOCLASS,Education,4
GEOCLASS,Economic geochemistry,4
GEOCLASS,Economic Geography,4
GEOCLASS,Reinforced earth and geosynthetics,4
GEOCLASS,EDUCATION AND TRAINING,4
GEOCLASS,Depositional environments,4
GEOCLASS,Cultural,4
CPXCLASS,"Mines and Mining, Coal",4
CPXCLASS,Oil Field Equipment,4
CPXCLASS,Rubber Factories and Machinery,4
CPXCLASS,"Electronic Equipment, General Purpose and Industrial",4
CPXCLASS,Welding Processes,4
CPXCLASS,Dams,4
CPXCLASS,Railroad Transportation,4
CPXCLASS,Electric Lamps,4
CPXCLASS,Rubber and Elastomers,4
CPXCLASS,Space Flight,4
CPXCLASS,Compressors,4
CPXCLASS,Conveyors,4
CPXCLASS,Electronic Components and Tubes,4
CPXCLASS,Engineering Professional Aspects,4
CPXCLASS,Airports,4
CPXCLASS,Electronic Circuits,4
CPXCLASS,Electric Network Analysis,4
CPXCLASS,Tunnels and Tunneling,4
GEOCLASS,Earthquake mechanisms and effects,3
GEOCLASS,GEOCHRONOLOGY,3
GEOCLASS,Freshwater ecology,3
CPXCLASS,Radioisotopes,3
GEOCLASS,Forestry,3
GEOCLASS,Fisheries,3
CPXCLASS,Geothermal Energy,3
GEOCLASS,Coastal protection,3
GEOCLASS,"Conflict, protest, human rights",3
ASJC,3502,3
CPXCLASS,Operations Research,3
CPXCLASS,Geophysical Prospecting,3
GEOCLASS,Effects of pollution and environmental disturbance,3
CPXCLASS,"Coatings, Finishes and Thin Film Deposition",3
GEOCLASS,WOMEN AND GENDER ISSUES,3
GEOCLASS,"Social, economic and political aspects of rural change",3
GEOCLASS,Dynamic properties,3
GEOCLASS,Tidal and estuarine ecology,3
CPXCLASS,DC Motors,3
CPXCLASS,Tantalum and Alloys,3
CPXCLASS,"Railroad Plant and Structures, General",3
CPXCLASS,Refractories,3
CPXCLASS,Mineralogy,3
ASJC,2922,3
CPXCLASS,Rubber Applications,3
GEOCLASS,Population Genetics,3
GEOCLASS,"PRIVATE INVESTMENT FLOWS, MULTINATIONALS",3
CPXCLASS,Turbines and Steam Turbines,3
CPXCLASS,Mines and Quarry Equipment and Operations,3
CPXCLASS,Control Devices,3
CPXCLASS,Refrigeration Methods,3
GEOCLASS,Reef communities,3
CPXCLASS,Molybdenum and Alloys,3
CPXCLASS,Synthetic Rubber,3
GEOCLASS,"Macroalgal, seagrass and mangrove communities",3
CPXCLASS,Telephone Systems and Related Technologies,3
GEOCLASS,Igneous petrology and processes,3
GEOCLASS,Secondary,3
GEOCLASS,Sediment geochemistry,3
CPXCLASS,Water Treatment Techniques for Industrial Use,3
GEOCLASS,Chemistry,3
CPXCLASS,"Waterway Transportation, General",3
CPXCLASS,Gravitation and Relativity,3
GEOCLASS,Global and Regional Planning,3
GEOCLASS,Coastal landforms,3
GEOCLASS,Pollination and seed dispersal,3
GEOCLASS,Adaptation,3
GEOCLASS,Biotechnology,3
GEOCLASS,Aerosols,3
CPXCLASS,Space Heating and Air Conditioning,3
CPXCLASS,"Lasers, General",3
CPXCLASS,"Machine Tools, General",3
CPXCLASS,Passenger Highway Transportation,3
CPXCLASS,Magnetohydrodynamic (MHD) Power Generation,3
CPXCLASS,Acoustic Devices,3
CPXCLASS,"Internal Combustion Engines, General",3
CPXCLASS,Lubricants,3
GEOCLASS,Biota,3
CPXCLASS,Petroleum and Related Deposits,3
ASJC,2903,3
ASJC,1905,3
CPXCLASS,Agricultural Machinery and Equipment,3
ENCOMPASSCLASS,Automotive,2
GEOCLASS,Planktonic ecosystems,2
ASJC,3613,2
GEOCLASS,Sea-level and river terraces,2
GEOCLASS,"INTERNATIONAL RELATIONS, INTERNATIONAL FINANCIAL INSTITUTIONS",2
CPXCLASS,"Automotive Engineering, General",2
GEOCLASS,Hydrogeology,2
GEOCLASS,"Pest, disease and weed control",2
CPXCLASS,Natural Gas Fields,2
GEOCLASS,Housing,2
GEOCLASS,Herbivory,2
GEOCLASS,Sedimentary environments - oceanic,2
GEOCLASS,Pests,2
CPXCLASS,Nonlinear Optics,2
GEOCLASS,Sea level,2
GEOCLASS,Pollutant transport,2
GEOCLASS,Seismic theory,2
GEOCLASS,Services,2
GEOCLASS,Glacial landforms and sediments,2
GEOCLASS,Chronology,2
GEOCLASS,"Geochronology, stratigraphy and palaeontology",2
CPXCLASS,Plastics Processing,2
GEOCLASS,Social Geography - General,2
GEOCLASS,General and chronology,2
GEOCLASS,Agricultural research and extension,2
CPXCLASS,Automobiles and Smaller Vehicles,2
GEOCLASS,"Permeability, porosity and capillarity",2
CPXCLASS,Acoustical Instruments,2
CPXCLASS,Asphalt,2
GEOCLASS,Precipitation assessment,2
CPXCLASS,Regional Planning and Development,2
CPXCLASS,Sound Insulating Materials,2
GEOCLASS,Nekton,2
GEOCLASS,"Protected areas, wildlife conservation",2
CPXCLASS,Pneumatics,2
GEOCLASS,Palaeomagnetism,2
GEOCLASS,National Trade and Consumption,2
GEOCLASS,NONGOVERNMENTAL ORGANISATIONS AND PEOPLE'S PARTICIPATION,2
CPXCLASS,Antimony and Alloys,2
GEOCLASS,Metals,2
GEOCLASS,Science and Technology,2
GEOCLASS,Regional weather patterns,2
CPXCLASS,Libraries,2
CPXCLASS,Acoustic Generators,2
GEOCLASS,Participation and Decision-Making,2
GEOCLASS,Socioeconomic Indicators,2
CPXCLASS,High Temperature Superconducting Materials,2
CPXCLASS,Abrasive Materials,2
GEOCLASS,"LABOUR AND MANAGEMENT, EMPLOYMENT POLICY",2
GEOCLASS,Rock mechanics,2
CPXCLASS,AC Generators,2
CPXCLASS,Computer Circuits and Logic Elements,2
GEOCLASS,Water resources and management,2
CPXCLASS,Mechanisms,2
ASJC,2906,2
CPXCLASS,Oscillators,2
GEOCLASS,Tertiary,2
GEOCLASS,Economic History,2
GEOCLASS,Economic Geography - General,2
CPXCLASS,"Small Tools, Unpowered",2
CPXCLASS,"Spacecraft, General",2
GEOCLASS,"Air masses, Atmospheric motion",2
GEOCLASS,Tropics and sub-tropics,2
CPXCLASS,Coal Mines,2
GEOCLASS,Tropics and subtropics,2
CPXCLASS,Optical Communication,2
GEOCLASS,Deformation mechanisms and processes,2
CPXCLASS,Impact of Technology on Society,2
GEOCLASS,Dams and embankments,2
CPXCLASS,Industrial and Agricultural Buildings,2
GEOCLASS,Crop and livestock production - general,2
CPXCLASS,Electric Motors,2
GEOCLASS,Construction methods,2
CPXCLASS,Production Control,2
GEOCLASS,"Compression, swelling and consolidation",2
CPXCLASS,Electric Components and Equipment,2
CPXCLASS,Marine Drilling Rigs and Platforms,2
GEOCLASS,Chemical and physical changes,2
CPXCLASS,"Cellulose, Paper and Wood Products",2
GEOCLASS,Clay minerals,2
CPXCLASS,Combat Naval Vessels,2
GEOCLASS,Transport Planning,2
GEOCLASS,TRADE AND TRADE POLICY,2
CPXCLASS,Communication Satellites,2
GEOCLASS,Soil stabilisation,2
GEOCLASS,Soil studies,2
GEOCLASS,Air-sea interaction,2
ASJC,2904,2
CPXCLASS,Pressure Measuring Instruments,2
CPXCLASS,Geothermal Phenomena,2
GEOCLASS,FORESTRY,2
GEOCLASS,"FOOD, FOOD SUPPLY",2
GEOCLASS,Species,2
CPXCLASS,"Electric Machinery, General",2
GEOCLASS,Surface installations,2
CPXCLASS,Ocean Engineering,2
CPXCLASS,Ship Equipment,2
CPXCLASS,Magnetic Variables Measurements,1
CPXCLASS,Cranes,1
ASJC,2714,1
CPXCLASS,Locomotives,1
CPXCLASS,Electric Lighting,1
GEOCLASS,Social Geography,1
GEOCLASS,Waves and oscillations,1
GEOCLASS,Water supply and sanitation,1
CPXCLASS,Land Reclamation,1
GEOCLASS,Waste disposal,1
GEOCLASS,"Spatial Analysis, Location Theory",1
CPXCLASS,Space Heating,1
GEOCLASS,Social History,1
GEOCLASS,Pollution and waste management - radioactive,1
CPXCLASS,Metals Corrosion and Protection,1
ASJC,2907,1
CPXCLASS,Light Metal Mines,1
CPXCLASS,Rockets and Missiles,1
GEOCLASS,Water resources,1
CPXCLASS,Mechatronics,1
CPXCLASS,Earthquake Resistance,1
CPXCLASS,Metal Refining,1
GEOCLASS,Restoration ecology,1
GEOCLASS,Properties of minerals,1
CPXCLASS,Smaller Vehicles,1
CPXCLASS,Inspection,1
GEOCLASS,"Storms, disturbances, cyclones",1
CPXCLASS,Earth Magnetism and Terrestrial Electricity,1
CPXCLASS,Lubrication,1
CPXCLASS,Metallurgical Furnaces,1
CPXCLASS,Electric and Electronic Measuring Instruments,1
GEOCLASS,Regional and Economic Planning,1
CPXCLASS,Leather,1
GEOCLASS,Wetlands and estuaries,1
CPXCLASS,Holography,1
CPXCLASS,Metal Forming Practice,1
GEOCLASS,Rainfall processes,1
CPXCLASS,Societies and Institutions,1
GEOCLASS,ROCK AND SOIL REINFORCEMENT AND SUPPORT,1
CPXCLASS,Control System Stability,1
GEOCLASS,REGIONAL AND SPATIAL DEVELOPMENT AND PLANNING,1
CPXCLASS,Electroless Plating,1
CPXCLASS,Industrial Hygiene,1
GEOCLASS,Precipitation quality,1
CPXCLASS,Aircraft Instruments and Equipment,1
CPXCLASS,"Thermoelectric, Magnetohydrodynamic and Other Power Generators",1
GEOCLASS,"DEMOGRAPHY, POPULATION POLICY",1
CPXCLASS,Cellular Manufacturing,1
CPXCLASS,Gas Lasers,1
GEOCLASS,Cartography,1
GEOCLASS,Case studies,1
GEOCLASS,Chemical control,1
GEOCLASS,"Climate, climate change",1
GEOCLASS,Coastal protection measures,1
CPXCLASS,Processing Agents,1
GEOCLASS,Crop and livestock production - technical aspects,1
GEOCLASS,Crystallography,1
CPXCLASS,Civil Defense and Military Engineering,1
CPXCLASS,Optical Communication Equipment,1
GEOCLASS,Environmental effects,1
CPXCLASS,Elevators,1
GEOCLASS,Descriptive,1
GEOCLASS,Dynamic meteorology,1
CPXCLASS,Coal Tar,1
GEOCLASS,ENGINEERING GEOLOGY,1
GEOCLASS,Earth retaining structures,1
GEOCLASS,Economic,1
GEOCLASS,Economic Development,1
CPXCLASS,Electronic and Thermionic Materials,1
GEOCLASS,Economic geology,1
GEOCLASS,Electricity,1
GEOCLASS,Biological uptake,1
CPXCLASS,Engineering Graphics,1
GEOCLASS,Biogeochemical cycles,1
CPXCLASS,Brickmaking,1
CPXCLASS,Flexible Manufacturing Systems,1
CPXCLASS,"Aerodynamics, General",1
CPXCLASS,"Acoustics, Noise and Sound",1
CPXCLASS,"Petrology (Before 1993, use code 482)",1
ENCOMPASSCLASS,Fuel Reformulation,1
CPXCLASS,Architectural Acoustics,1
CPXCLASS,Farm Buildings and Other Structures,1
ENCOMPASSCLASS,Transportation and Storage,1
ASJC,1209,1
CPXCLASS,Facsimile Systems and Equipment,1
ASJC,3610,1
CPXCLASS,Beryllium and Alloys,1
CPXCLASS,Foundries,1
ASJC,3602,1
GEOCLASS,AGRICULTURE,1
GEOCLASS,"Agriculture, resource development and the environment",1
CPXCLASS,Pressure Measurements,1
CPXCLASS,Bituminous Materials,1
CPXCLASS,Engineering Profession,1
CPXCLASS,Blast Furnaces,1
GEOCLASS,Atmospheric chemistry,1
GEOCLASS,"Bacteriology, virology and parasitology",1
CPXCLASS,Printing and Reprography,1
CPXCLASS,Radioactive Wastes,1
CPXCLASS,Oceanographic Techniques,1
CPXCLASS,Towers,1
GEOCLASS,NUTRITION,1
GEOCLASS,Invertebrates,1
GEOCLASS,Karst,1
GEOCLASS,"Land use, forestry and agriculture",1
CPXCLASS,Water Pollution Control,1
GEOCLASS,Marine mammals,1
GEOCLASS,Mathematical and computing methods,1
CPXCLASS,Moisture Measuring Instruments,1
GEOCLASS,Mesozoic,1
GEOCLASS,Metamorphic petrology and processes,1
GEOCLASS,Mines and quarries,1
CPXCLASS,Refrigerants,1
GEOCLASS,National and Land-Use Planning,1
GEOCLASS,Excavation failure mechanisms,1
CPXCLASS,"Modulators, Demodulators, Limiters, Discriminators, Mixers",1
GEOCLASS,Nature - Society Relations,1
GEOCLASS,Nutrients,1
GEOCLASS,Offshore structures,1
GEOCLASS,Organic matter,1
GEOCLASS,Palaeoecology and palaeobiogeography,1
GEOCLASS,Palaeogeography and palaeoclimatology,1
GEOCLASS,Palaeozoic,1
GEOCLASS,Physical properties,1
GEOCLASS,Physico-chemical properties,1
CPXCLASS,"Reproduction, Copying",1
GEOCLASS,International Trade and Economic Association,1
CPXCLASS,Fission and Fusion Reactions,1
GEOCLASS,"Information systems, climatic and soil conditions",1
GEOCLASS,Igneous geochemistry,1
GEOCLASS,Experimental mineralogy,1
GEOCLASS,FLUID MECHANICS,1
GEOCLASS,Fertility,1
GEOCLASS,Fluvial landforms,1
GEOCLASS,Forest Resources,1
CPXCLASS,Welding and Bonding,1
GEOCLASS,Fungi and fungal associations,1
CPXCLASS,Nonmetallic Mines,1
GEOCLASS,GLOBAL ECOLOGY,1
CPXCLASS,Railroad Cars,1
GEOCLASS,General,1
CPXCLASS,Waterworks,1
GEOCLASS,General underground storage,1
GEOCLASS,Geological factors,1
GEOCLASS,Geothermal energy,1
GEOCLASS,Groundwater,1
GEOCLASS,Groundwater problems and environmental effects,1
GEOCLASS,Groundwater processes,1
GEOCLASS,Grouting,1
GEOCLASS,HOUSING,1
CPXCLASS,"Railroad Rolling Stock, General",1
GEOCLASS,INDUSTRY AND SERVICES,1
CPXCLASS,Heat and Mass Transfer,1
GEOCLASS,Instrumentation,1
