type,classification_description
CPXCLASS,"Computer Theory (Includes Formal Logic, Automata Theory, Switching Theory and Programming Theory)"
CPXCLASS,"Computer Theory, Includes Computational Logic, Automata Theory, Switching Theory, Programming Theory"
GEOCLASS,Concepts and issues in environmental planning
CPXCLASS,Concrete
CPXCLASS,Concrete Reinforcements
CPXCLASS,Conducting Materials
GEOCLASS,"Conflict, protest, human rights"
GEOCLASS,Conservation and habitat improvement
CPXCLASS,Construction Equipment
CPXCLASS,Construction Equipment and Methods
CPXCLASS,Construction Methods
GEOCLASS,Construction methods
GEOCLASS,Contamination and remediation
CPXCLASS,Control Devices
CPXCLASS,Control Equipment
CPXCLASS,Control Instrumentation
CPXCLASS,Control System Applications
CPXCLASS,Control System Stability
CPXCLASS,Control Systems
CPXCLASS,Conveyors
CPXCLASS,Copper
CPXCLASS,Copper Alloys
CPXCLASS,Corrosion Protection
CPXCLASS,Cost Accounting
CPXCLASS,Cost and Value Engineering
CPXCLASS,Cranes
GEOCLASS,Crop and livestock production - general
GEOCLASS,Crop and livestock production - technical aspects
CPXCLASS,Cryogenics
CPXCLASS,Crystal Growth
CPXCLASS,Crystal Lattice
CPXCLASS,Crystalline Solids
CPXCLASS,Crystalline Solids and Crystallography
GEOCLASS,Crystallography
GEOCLASS,Cultural
CPXCLASS,DC Motors
GEOCLASS,"DEMOGRAPHY, POPULATION POLICY"
CPXCLASS,Dams
GEOCLASS,Dams and embankments
CPXCLASS,"Data Communication, Equipment and Techniques"
CPXCLASS,Data Processing
CPXCLASS,Data Processing and Image Processing
CPXCLASS,"Data Storage, Equipment and Techniques"
CPXCLASS,Database Systems
GEOCLASS,Deformation and strength characteristics
GEOCLASS,Deformation mechanisms and processes
CPXCLASS,Dental Equipment and Supplies
GEOCLASS,Depositional environments
EMCLASS,Dermatology and Venereology
GEOCLASS,Descriptive
CPXCLASS,Development Operations
EMCLASS,Developmental Biology and Teratology
CPXCLASS,Dielectric Materials
CPXCLASS,Diesel Engines
CPXCLASS,Digital Computers and Systems
GEOCLASS,Diseases
EMCLASS,"Drug Dependence, Alcohol Abuse and Alcoholism"
EMCLASS,Drug Literature Index
GEOCLASS,Dynamic meteorology
GEOCLASS,Dynamic properties
CABSCLASS,ECOLOGICAL AND ENVIRONMENTAL SCIENCES
GEOCLASS,EDUCATION AND TRAINING
CABSCLASS,ENDOCRINOLOGY AND METABOLISM
GEOCLASS,ENERGY
GEOCLASS,ENGINEERING GEOLOGY
CPXCLASS,Earth Magnetism and Terrestrial Electricity
GEOCLASS,Earth retaining structures
CPXCLASS,Earthquake Measurements and Analysis
CPXCLASS,Earthquake Resistance
GEOCLASS,Earthquake mechanisms and effects
GEOCLASS,Earthquakes
CPXCLASS,Ecology and Ecosystems
GEOCLASS,Economic
GEOCLASS,Economic Development
GEOCLASS,Economic Geography
GEOCLASS,Economic Geography - General
GEOCLASS,Economic History
GEOCLASS,Economic geochemistry
GEOCLASS,Economic geology
GEOCLASS,Education
CPXCLASS,Education
GEOCLASS,Effects of pollution and environmental disturbance
CPXCLASS,Elastomers
CPXCLASS,Electric Batteries
CPXCLASS,Electric Batteries and Fuel Cells
CPXCLASS,Electric Components
CPXCLASS,Electric Components and Equipment
CPXCLASS,Electric Equipment
CPXCLASS,Electric Filters
CPXCLASS,Electric Generators
CPXCLASS,Electric Lamps
CPXCLASS,Electric Lighting
CPXCLASS,"Electric Machinery, General"
CPXCLASS,Electric Motors
CPXCLASS,Electric Network Analysis
CPXCLASS,Electric Networks
CPXCLASS,Electric Power Distribution
CPXCLASS,Electric Power Lines and Equipment
CPXCLASS,Electric Power Systems
CPXCLASS,Electric Power Transmission
CPXCLASS,Electric Transmission and Distribution
CPXCLASS,Electric Variables Measurements
CPXCLASS,Electric and Electronic Instruments
CPXCLASS,Electric and Electronic Measuring Instruments
CPXCLASS,"Electrical Engineering, General"
GEOCLASS,Electricity
CPXCLASS,Electricity and Magnetism
CPXCLASS,"Electricity, Basic Concepts and Phenomena"
