type,classification_description
GEOCLASS,REGIONAL AND SPATIAL DEVELOPMENT AND PLANNING
GEOCLASS,ROCK AND SOIL REINFORCEMENT AND SUPPORT
CPXCLASS,Radar Systems and Equipment
CPXCLASS,Radiation Measurements
CPXCLASS,Radiation Measuring Instruments
CPXCLASS,Radio Systems and Equipment
CPXCLASS,Radioactive Material Applications
CPXCLASS,Radioactive Materials
CPXCLASS,"Radioactive Materials, General"
CPXCLASS,Radioactive Wastes
CPXCLASS,Radioisotopes
EMCLASS,Radiology
CPXCLASS,Rail Transportation
CPXCLASS,"Rail Transportation, General"
CPXCLASS,Railroad Cars
CPXCLASS,"Railroad Plant and Structures, General"
CPXCLASS,"Railroad Rolling Stock, General"
CPXCLASS,Railroad Transportation
CPXCLASS,"Railroad Transportation, General"
CPXCLASS,"Railway Plant and Structures, General"
GEOCLASS,Rainfall processes
CPXCLASS,Rare Earth Metals
GEOCLASS,Reef communities
CPXCLASS,Refractories
CPXCLASS,Refrigerants
CPXCLASS,Refrigeration Equipment and Components
CPXCLASS,Refrigeration Methods
GEOCLASS,Regional
CPXCLASS,Regional Planning and Development
GEOCLASS,Regional and Economic Planning
GEOCLASS,Regional and general
GEOCLASS,Regional structure and tectonics
GEOCLASS,Regional weather patterns
CPXCLASS,Rehabilitation Engineering and Assistive Technology
EMCLASS,Rehabilitation and Physical Medicine
GEOCLASS,Reinforced earth and geosynthetics
GEOCLASS,Remote sensing
CPXCLASS,"Reproduction, Copying"
CPXCLASS,Reservoirs
CPXCLASS,Residences
GEOCLASS,Restoration ecology
CPXCLASS,Roads and Streets
CPXCLASS,Robot Applications
CPXCLASS,Robotics
GEOCLASS,Rock mechanics
CPXCLASS,Rockets and Missiles
CPXCLASS,Rolling Mill Practice
CPXCLASS,Rubber Applications
CPXCLASS,Rubber Factories and Machinery
CPXCLASS,Rubber Products
CPXCLASS,Rubber and Elastomer Processing
CPXCLASS,Rubber and Elastomers
GEOCLASS,"Runoff, streamflow and basins"
GEOCLASS,"SOCIAL POLICY, OTHER SOCIAL SERVICES"
CPXCLASS,Safety Engineering
CPXCLASS,Satellites
GEOCLASS,Science and Technology
GEOCLASS,Sea level
GEOCLASS,Sea-level and river terraces
CPXCLASS,"Seawater, Tides and Waves"
GEOCLASS,Secondary
CPXCLASS,Secondary Batteries
CPXCLASS,Secondary Earthquake Effects
GEOCLASS,Sediment geochemistry
GEOCLASS,Sedimentary environments - oceanic
GEOCLASS,Sedimentary environments - terrestrial
GEOCLASS,Sedimentary geochemistry
GEOCLASS,Sediments and sedimentary processes - transport
GEOCLASS,Seismic theory
CPXCLASS,Seismology
CPXCLASS,Semiconducting Materials
CPXCLASS,Semiconductor Devices and Integrated Circuits
GEOCLASS,Services
CPXCLASS,Sewage
CPXCLASS,Sewage Treatment
CPXCLASS,Sewage and Industrial Wastes Treatment
CPXCLASS,Ship Equipment
CPXCLASS,Single Element Semiconducting Materials
GEOCLASS,Slopes
CPXCLASS,Small Marine Craft
CPXCLASS,Small Tools and Hardware
CPXCLASS,"Small Tools, Unpowered"
CPXCLASS,Smaller Vehicles
GEOCLASS,Social Geography
GEOCLASS,Social Geography - General
GEOCLASS,Social History
GEOCLASS,Social Planning
CPXCLASS,Social Sciences
GEOCLASS,"Social, economic and political aspects of rural change"
CPXCLASS,Societies and Institutions
GEOCLASS,Socioeconomic Indicators
CPXCLASS,Soil Mechanics and Foundations
GEOCLASS,Soil mechanics
GEOCLASS,Soil stabilisation
GEOCLASS,Soil studies
GEOCLASS,Soil water
CPXCLASS,Soils and Soil Mechanics
CPXCLASS,Solar Cells
CPXCLASS,Solar Energy and Phenomena
CPXCLASS,Solar Power
CPXCLASS,Soldering
CPXCLASS,Solid Fuels
CPXCLASS,Solid State Lasers
CPXCLASS,Solid State Physics
CPXCLASS,Sound Insulating Materials
CPXCLASS,Space Flight
CPXCLASS,Space Heating
CPXCLASS,Space Heating and Air Conditioning
CPXCLASS,"Space Heating, Ventilation and Air Conditioning"
CPXCLASS,Space Physics
CPXCLASS,Space Research
CPXCLASS,"Spacecraft, General"
GEOCLASS,"Spatial Analysis, Location Theory"
CPXCLASS,Special Purpose Instruments
GEOCLASS,Species
CPXCLASS,Specific Variables Control
CPXCLASS,Speech
CPXCLASS,Statistical Methods
CPXCLASS,Steam Power Plants
CPXCLASS,Steel
CPXCLASS,Storage
GEOCLASS,"Storms, disturbances, cyclones"
CPXCLASS,Strength of Building Materials
CPXCLASS,Structural Design
CPXCLASS,"Structural Design, General"
CPXCLASS,Structural Members and Shapes
GEOCLASS,Structural geology and tectonics
CPXCLASS,Superconducting Materials
CPXCLASS,Surface Water
GEOCLASS,Surface installations
GEOCLASS,Surface water quality
EMCLASS,Surgery
CPXCLASS,Surveying
CPXCLASS,Synthetic Fibers
CPXCLASS,Synthetic Rubber
CPXCLASS,Synthetic and Natural Fibers
CPXCLASS,Systems Science
FLXCLASS,THE ATMOSPHERE
GEOCLASS,TOURISM
CABSCLASS,TOXICOLOGY
GEOCLASS,TRADE AND TRADE POLICY
GEOCLASS,TRANSPORT AND COMMUNICATIONS
CPXCLASS,Tanks
CPXCLASS,Tantalum and Alloys
CPXCLASS,Telecommunication
CPXCLASS,Telephone Systems and Equipment
CPXCLASS,Telephone Systems and Related Technologies
CPXCLASS,Television Systems and Equipment
CPXCLASS,Temperature Measurements
CPXCLASS,Temperature Measuring Instruments
GEOCLASS,Tertiary
CPXCLASS,"Textile Mills, Machinery and Equipment"
CPXCLASS,Textile Products and Processing
GEOCLASS,The Holocene
CPXCLASS,Thermodynamics
CPXCLASS,Thermoelectric Energy
CPXCLASS,"Thermoelectric, Magnetohydrodynamic and Other Power Generators"
GEOCLASS,Tidal and estuarine ecology
CPXCLASS,Tin and Alloys
CPXCLASS,Titanium and Alloys
GEOCLASS,Tourism and Recreation
CPXCLASS,Towers
EMCLASS,Toxicology
GEOCLASS,Transport Planning
GEOCLASS,Transport and Communicatons
ENCOMPASSCLASS,Transportation and Storage
GEOCLASS,Tropics and sub-tropics
GEOCLASS,Tropics and subtropics
CPXCLASS,Tungsten and Alloys
GEOCLASS,Tunnels
CPXCLASS,Tunnels and Tunneling
CPXCLASS,Turbines and Steam Turbines
GEOCLASS,URBANISATION AND URBAN PLANNING
CPXCLASS,Ultrasonic Applications
CPXCLASS,Ultrasonic Waves
GEOCLASS,Underground excavations
GEOCLASS,Urban Planning
CPXCLASS,Urban Planning and Development
CPXCLASS,Urban and Regional Planning and Development
EMCLASS,Urology and Nephrology
FLXCLASS,VESSELS AND MARINE ENGINEERING
CPXCLASS,Vacuum Applications
CPXCLASS,Vacuum Technology
CPXCLASS,Value Engineering
CPXCLASS,Vanadium and Alloys
CPXCLASS,Ventilation
GEOCLASS,Vertebrates
CPXCLASS,Vision
FLXCLASS,WASTEWATER AND OTHER EFFLUENT/LIQUID WASTE ENGIN.
FLXCLASS,WATER ENGINEERING
GEOCLASS,WOMEN AND GENDER ISSUES
GEOCLASS,Waste Management and Pollution Policy
GEOCLASS,Waste disposal
CPXCLASS,Water Analysis
CPXCLASS,Water Pollution
CPXCLASS,Water Pollution Control
CPXCLASS,Water Pollution Sources
GEOCLASS,Water Resources
CPXCLASS,Water Resources
CPXCLASS,Water Supply Systems
CPXCLASS,Water Treatment Techniques
CPXCLASS,Water Treatment Techniques for Industrial Use
GEOCLASS,Water resources
GEOCLASS,Water resources and management
GEOCLASS,Water resources development - general
GEOCLASS,Water supply and sanitation
CPXCLASS,Waterway Transportation
CPXCLASS,"Waterway Transportation, General"
CPXCLASS,Waterways
CPXCLASS,Waterworks
CPXCLASS,Waveguides
GEOCLASS,Waves and oscillations
GEOCLASS,Weather and climate forecasting
CPXCLASS,Welding
CPXCLASS,Welding Processes
CPXCLASS,Welding and Bonding
GEOCLASS,Wetlands and estuaries
CPXCLASS,Wind Power
CPXCLASS,"Wind Power (Before 1993, use code 611)"
CPXCLASS,Wood and Wood Products
CPXCLASS,Woodlands and Forestry
CPXCLASS,Zinc and Alloys
